Fecha;Número ID;Sucursal;Producto;Monto USD;Vendedor;Estado App;Fecha Registro en la App;estado_mora
15/10/2025;32;Salto;Tarjeta de Crédito;;;Registrado;20/10/2025;En Mora
05/02/2025;33;Rocha;Tarjeta de Crédito;;;No Registrado;;Cobrado
29/07/2025;34;Cerro Largo;Tarjeta de Crédito;;;No Registrado;;Cobrado
16/04/2025;35;Canelones;Tarjeta de Crédito;;;No Registrado;;Cobrado
24/10/2025;36;Tacuarembó;Tarjeta de Crédito;;;Registrado;29/10/2025;Cobrado
29/10/2025;37;Maldonado;Cuenta Sueldo;;;Registrado;01/11/2025;Cobrado
24/10/2025;38;Montevideo;Préstamo Consumo;885,0;M2;No Registrado;;Cobrado
27/01/2025;39;Florida;Cuenta Sueldo;;;Registrado;29/01/2025;En Mora
02/01/2025;40;Montevideo;Préstamo Hipotecario;117483,0;M2;Registrado;09/01/2025;En Mora
14/07/2025;41;Colonia;Préstamo Consumo;1069,0;O2;Registrado;16/07/2025;Cobrado
03/01/2025;42;Montevideo;Tarjeta de Crédito;;;No Registrado;;Cobrado
06/10/2025;43;Durazno;Tarjeta de Crédito;;;No Registrado;;Cobrado
18/06/2025;44;Salto;Préstamo Consumo;4430,0;S1;No Registrado;;Cobrado
03/09/2025;45;Montevideo;Cuenta Sueldo;;;No Registrado;;Cobrado
31/07/2025;46;Colonia;Cuenta Sueldo;;;No Registrado;;Cobrado
03/12/2025;47;Canelones;Préstamo Hipotecario;56581,0;C1;Registrado;05/12/2025;Incobrable
01/07/2025;48;Montevideo;Préstamo Consumo;3761,0;M2;No Registrado;;Incobrable
25/07/2025;49;Cerro Largo;Préstamo Hipotecario;158056,0;E2;Registrado;31/07/2025;Cobrado
11/02/2025;50;Montevideo;Premier;;;Registrado;14/02/2025;Incobrable
14/02/2025;51;Canelones;Tarjeta de Crédito;;;Registrado;15/02/2025;Cobrado
10/01/2025;52;San José;Tarjeta de Crédito;;;No Registrado;;Cobrado
19/02/2025;53;Canelones;Cuenta Sueldo;;;No Registrado;;Cobrado
07/07/2025;54;Maldonado;Tarjeta de Crédito;;;Registrado;14/07/2025;Cobrado
11/06/2025;55;Montevideo;Préstamo Consumo;2346,0;M3;No Registrado;;Cobrado
01/12/2025;56;San José;Premier;;;Registrado;05/12/2025;Cobrado
10/10/2025;57;Montevideo;Tarjeta de Crédito;;;Registrado;15/10/2025;Incobrable
05/12/2025;58;Montevideo;Cuenta Sueldo;;;No Registrado;;Incobrable
09/12/2025;59;Canelones;Préstamo Consumo;1957,0;C3;No Registrado;;Cobrado
29/07/2025;60;Lavalleja;Premier;;;Registrado;02/08/2025;En Mora
03/11/2025;61;Río Negro;Préstamo Consumo;586,0;N1;Registrado;10/11/2025;En Mora
27/01/2025;62;Montevideo;Tarjeta de Crédito;;;No Registrado;;Cobrado
07/10/2025;63;Canelones;Préstamo Consumo;843,0;C2;No Registrado;;Cobrado
23/01/2025;64;Durazno;Tarjeta de Crédito;;;No Registrado;;Cobrado
07/02/2025;65;Montevideo;Préstamo Automotor;15482,0;M2;No Registrado;;Cobrado
16/07/2025;66;Canelones;Tarjeta de Crédito;;;No Registrado;;Cobrado
11/09/2025;67;Artigas;Tarjeta de Crédito;;;Registrado;18/09/2025;Cobrado
22/07/2025;68;Canelones;Premier;;;Registrado;23/07/2025;Cobrado
11/02/2025;69;Montevideo;Tarjeta de Crédito;;;Registrado;12/02/2025;Incobrable
10/11/2025;70;Canelones;Tarjeta de Crédito;;;Registrado;12/11/2025;Cobrado
17/04/2025;71;Maldonado;Préstamo Consumo;3876,0;A3;No Registrado;;Cobrado
02/12/2025;72;Montevideo;Cuenta Sueldo;;;No Registrado;;Incobrable
07/03/2025;73;Rocha;Premier;;;Registrado;09/03/2025;Cobrado
31/10/2025;74;Maldonado;Tarjeta de Crédito;;;Registrado;06/11/2025;Cobrado
18/02/2025;75;Rivera;Préstamo Hipotecario;72690,0;R2;Registrado;21/02/2025;Cobrado
03/12/2025;76;Salto;Premier;;;Registrado;04/12/2025;Cobrado
22/05/2025;77;Montevideo;Préstamo Consumo;3832,0;M1;No Registrado;;Cobrado
26/09/2025;78;Colonia;Préstamo Automotor;5786,0;O1;Registrado;29/09/2025;Cobrado
09/12/2025;79;Canelones;Cuenta Sueldo;;;No Registrado;;Incobrable
04/06/2025;80;Canelones;Premier;;;Registrado;10/06/2025;Cobrado
20/05/2025;81;Canelones;Cuenta Sueldo;;;No Registrado;;Cobrado
10/10/2025;82;Soriano;Tarjeta de Crédito;;;Registrado;11/10/2025;Cobrado
13/11/2025;83;Maldonado;Préstamo Consumo;2066,0;A1;No Registrado;;Cobrado
17/07/2025;84;Paysandú;Tarjeta de Crédito;;;No Registrado;;Cobrado
15/01/2025;85;Florida;Préstamo Consumo;2290,0;L3;Registrado;17/01/2025;Incobrable
23/07/2025;86;Montevideo;Cuenta Sueldo;;;Registrado;28/07/2025;Cobrado
22/05/2025;87;Montevideo;Préstamo Consumo;3460,0;M3;No Registrado;;Cobrado
25/06/2025;88;Salto;Préstamo Hipotecario;149032,0;S1;Registrado;30/06/2025;En Mora
17/11/2025;89;Salto;Tarjeta de Crédito;;;No Registrado;;En Mora
27/02/2025;90;Colonia;Préstamo Automotor;10958,0;O3;Registrado;03/03/2025;Incobrable
15/09/2025;91;Montevideo;Cuenta Sueldo;;;Registrado;19/09/2025;Incobrable
07/07/2025;92;Salto;Préstamo Automotor;20503,0;S2;Registrado;14/07/2025;Cobrado
05/08/2025;93;Canelones;Préstamo Automotor;8556,0;C3;No Registrado;;En Mora
06/08/2025;94;Montevideo;Tarjeta de Crédito;;;Registrado;11/08/2025;Cobrado
16/05/2025;95;Cerro Largo;Tarjeta de Crédito;;;Registrado;23/05/2025;Cobrado
03/12/2025;96;Treinta y Tres;Préstamo Consumo;3416,0;Y1;Registrado;10/12/2025;Cobrado
29/07/2025;97;Montevideo;Préstamo Hipotecario;106803,0;M1;Registrado;02/08/2025;Cobrado
17/03/2025;98;Maldonado;Tarjeta de Crédito;;;No Registrado;;Cobrado
15/08/2025;99;Río Negro;Préstamo Automotor;5864,0;N3;Registrado;20/08/2025;Cobrado
20/06/2025;100;Canelones;Cuenta Sueldo;;;No Registrado;;Cobrado
10/10/2025;101;Montevideo;Préstamo Consumo;810,0;M3;No Registrado;;Cobrado
15/07/2025;102;Tacuarembó;Préstamo Hipotecario;42903,0;T1;Registrado;21/07/2025;Cobrado
04/11/2025;103;Tacuarembó;Tarjeta de Crédito;;;No Registrado;;Cobrado
18/07/2025;104;Canelones;Tarjeta de Crédito;;;Registrado;21/07/2025;Cobrado
02/09/2025;105;Canelones;Préstamo Automotor;17723,0;C2;Registrado;03/09/2025;Cobrado
02/04/2025;106;Montevideo;Tarjeta de Crédito;;;Registrado;07/04/2025;Incobrable
14/02/2025;107;Montevideo;Premier;;;Registrado;16/02/2025;Cobrado
03/12/2025;108;Canelones;Préstamo Automotor;14340,0;C1;Registrado;10/12/2025;Cobrado
17/06/2025;109;Treinta y Tres;Cuenta Sueldo;;;Registrado;23/06/2025;Cobrado
03/04/2025;110;Rocha;Préstamo Hipotecario;11913,0;H2;Registrado;04/04/2025;Cobrado
26/09/2025;111;Lavalleja;Tarjeta de Crédito;;;No Registrado;;En Mora
07/02/2025;112;Maldonado;Préstamo Consumo;1768,0;A2;No Registrado;;Cobrado
14/01/2025;113;Río Negro;Tarjeta de Crédito;;;Registrado;19/01/2025;Cobrado
05/11/2025;114;Maldonado;Tarjeta de Crédito;;;No Registrado;;Cobrado
26/05/2025;115;Canelones;Cuenta Sueldo;;;No Registrado;;Cobrado
12/08/2025;116;Colonia;Préstamo Consumo;2100,0;O1;Registrado;19/08/2025;Cobrado
17/10/2025;117;Canelones;Préstamo Hipotecario;76102,0;C1;Registrado;21/10/2025;Incobrable
19/09/2025;118;Canelones;Préstamo Consumo;2307,0;C2;No Registrado;;Cobrado
20/01/2025;119;Florida;Cuenta Sueldo;;;Registrado;21/01/2025;Cobrado
15/10/2025;120;Canelones;Préstamo Automotor;9818,0;C1;No Registrado;;En Mora
04/04/2025;121;Durazno;Cuenta Sueldo;;;No Registrado;;Cobrado
17/07/2025;122;Paysandú;Cuenta Sueldo;;;Registrado;22/07/2025;En Mora
26/08/2025;123;Montevideo;Préstamo Consumo;1588,0;M2;Registrado;02/09/2025;En Mora
03/07/2025;124;Maldonado;Tarjeta de Crédito;;;No Registrado;;Cobrado
29/01/2025;125;Montevideo;Préstamo Automotor;25343,0;M1;Registrado;05/02/2025;Incobrable
28/02/2025;126;Florida;Tarjeta de Crédito;;;Registrado;05/03/2025;En Mora
09/05/2025;127;Río Negro;Préstamo Consumo;4214,0;N2;No Registrado;;En Mora
19/05/2025;128;Tacuarembó;Premier;;;Registrado;25/05/2025;Cobrado
30/05/2025;129;Canelones;Tarjeta de Crédito;;;Registrado;02/06/2025;Cobrado
21/01/2025;130;Durazno;Cuenta Sueldo;;;No Registrado;;Cobrado
05/02/2025;131;Paysandú;Tarjeta de Crédito;;;No Registrado;;Cobrado
04/06/2025;132;Montevideo;Premier;;;Registrado;06/06/2025;Cobrado
21/03/2025;133;Colonia;Cuenta Sueldo;;;Registrado;23/03/2025;Cobrado
20/05/2025;134;Salto;Cuenta Sueldo;;;Registrado;23/05/2025;En Mora
27/06/2025;135;Tacuarembó;Cuenta Sueldo;;;Registrado;04/07/2025;Cobrado
22/12/2025;136;Canelones;Préstamo Automotor;2550,0;C3;Registrado;29/12/2025;Cobrado
18/11/2025;137;Tacuarembó;Préstamo Automotor;3510,0;T2;Registrado;22/11/2025;Incobrable
27/01/2025;138;Canelones;Préstamo Consumo;4178,0;C1;No Registrado;;En Mora
15/09/2025;139;Montevideo;Préstamo Consumo;1046,0;M1;No Registrado;;Cobrado
09/06/2025;140;Colonia;Cuenta Sueldo;;;No Registrado;;Cobrado
02/06/2025;141;Rocha;Tarjeta de Crédito;;;Registrado;08/06/2025;Cobrado
20/11/2025;142;Rivera;Tarjeta de Crédito;;;No Registrado;;Cobrado
07/05/2025;143;Cerro Largo;Premier;;;Registrado;14/05/2025;Cobrado
30/01/2025;144;Lavalleja;Cuenta Sueldo;;;No Registrado;;Cobrado
23/04/2025;145;Salto;Tarjeta de Crédito;;;Registrado;28/04/2025;Incobrable
09/07/2025;146;Paysandú;Tarjeta de Crédito;;;No Registrado;;Cobrado
24/09/2025;147;Montevideo;Cuenta Sueldo;;;No Registrado;;Incobrable
21/04/2025;148;Colonia;Cuenta Sueldo;;;No Registrado;;Cobrado
04/09/2025;149;Canelones;Tarjeta de Crédito;;;No Registrado;;Cobrado
27/05/2025;150;Montevideo;Préstamo Automotor;13020,0;M1;Registrado;02/06/2025;Cobrado
22/09/2025;151;Lavalleja;Tarjeta de Crédito;;;Registrado;27/09/2025;Cobrado
07/10/2025;152;Montevideo;Préstamo Consumo;4356,0;M2;No Registrado;;Cobrado
20/05/2025;153;Canelones;Préstamo Hipotecario;204110,0;C1;Registrado;24/05/2025;En Mora
31/12/2025;154;Montevideo;Cuenta Sueldo;;;No Registrado;;Cobrado
24/04/2025;155;Colonia;Préstamo Consumo;3485,0;O3;No Registrado;;Cobrado
04/09/2025;156;Canelones;Préstamo Consumo;1074,0;C2;No Registrado;;Cobrado
04/08/2025;157;Montevideo;Préstamo Consumo;857,0;M1;No Registrado;;Cobrado
03/09/2025;158;Florida;Tarjeta de Crédito;;;Registrado;07/09/2025;Cobrado
20/03/2025;159;Canelones;Cuenta Sueldo;;;No Registrado;;Cobrado
11/07/2025;160;Canelones;Préstamo Hipotecario;192779,0;C2;Registrado;13/07/2025;En Mora
07/11/2025;161;Treinta y Tres;Premier;;;Registrado;10/11/2025;Cobrado
29/04/2025;162;Montevideo;Tarjeta de Crédito;;;No Registrado;;En Mora
30/12/2025;163;Salto;Préstamo Consumo;4117,0;S3;No Registrado;;Cobrado
11/12/2025;164;Montevideo;Tarjeta de Crédito;;;Registrado;16/12/2025;Cobrado
11/08/2025;165;Flores;Tarjeta de Crédito;;;No Registrado;;Cobrado
16/04/2025;166;Montevideo;Tarjeta de Crédito;;;Registrado;20/04/2025;Cobrado
06/05/2025;167;Lavalleja;Préstamo Consumo;1585,0;V1;No Registrado;;Cobrado
25/09/2025;168;Montevideo;Tarjeta de Crédito;;;No Registrado;;Incobrable
01/01/2025;169;Salto;Préstamo Hipotecario;252570,0;S1;Registrado;04/01/2025;En Mora
13/01/2025;170;Canelones;Préstamo Consumo;3274,0;C2;Registrado;20/01/2025;En Mora
18/03/2025;171;Florida;Préstamo Consumo;1328,0;L1;No Registrado;;Cobrado
23/04/2025;172;Rocha;Préstamo Consumo;1961,0;H1;No Registrado;;Cobrado
04/11/2025;173;Colonia;Cuenta Sueldo;;;No Registrado;;Cobrado
15/05/2025;174;Montevideo;Tarjeta de Crédito;;;No Registrado;;Cobrado
08/07/2025;175;Río Negro;Préstamo Consumo;2303,0;N3;Registrado;15/07/2025;Cobrado
23/10/2025;176;Canelones;Premier;;;No Registrado;;Cobrado
24/11/2025;177;Tacuarembó;Préstamo Consumo;4266,0;T3;No Registrado;;Cobrado
22/12/2025;178;Rocha;Préstamo Automotor;13683,0;H3;Registrado;26/12/2025;Cobrado
24/12/2025;179;Florida;Préstamo Consumo;951,0;L1;No Registrado;;Cobrado
27/01/2025;180;Rivera;Tarjeta de Crédito;;;Registrado;01/02/2025;Cobrado
08/07/2025;181;Cerro Largo;Cuenta Sueldo;;;No Registrado;;Cobrado
14/07/2025;182;Montevideo;Préstamo Consumo;2479,0;M3;Registrado;20/07/2025;Cobrado
17/10/2025;183;Montevideo;Préstamo Consumo;1912,0;M2;No Registrado;;Cobrado
04/09/2025;184;Tacuarembó;Cuenta Sueldo;;;Registrado;05/09/2025;Cobrado
10/07/2025;185;Montevideo;Cuenta Sueldo;;;Registrado;17/07/2025;Cobrado
07/10/2025;186;Canelones;Préstamo Automotor;12423,0;C2;Registrado;08/10/2025;Cobrado
19/03/2025;187;Montevideo;Tarjeta de Crédito;;;No Registrado;;Cobrado
26/06/2025;188;Durazno;Préstamo Automotor;13688,0;D2;Registrado;02/07/2025;Cobrado
20/10/2025;189;Rivera;Cuenta Sueldo;;;No Registrado;;Cobrado
25/06/2025;190;Florida;Cuenta Sueldo;;;No Registrado;;Incobrable
24/02/2025;191;Maldonado;Préstamo Consumo;3171,0;A2;No Registrado;;Cobrado
07/01/2025;192;Montevideo;Premier;;;Registrado;09/01/2025;En Mora
08/04/2025;193;Canelones;Tarjeta de Crédito;;;No Registrado;;En Mora
14/04/2025;194;Canelones;Préstamo Automotor;27836,0;C3;Registrado;19/04/2025;Cobrado
13/02/2025;195;Cerro Largo;Préstamo Automotor;3826,0;E1;Registrado;17/02/2025;Cobrado
27/01/2025;196;Rocha;Préstamo Consumo;586,0;H3;No Registrado;;Cobrado
29/04/2025;197;Rivera;Premier;;;Registrado;02/05/2025;Cobrado
13/06/2025;198;Rivera;Préstamo Consumo;1669,0;R2;Registrado;20/06/2025;Cobrado
05/09/2025;199;Montevideo;Cuenta Sueldo;;;No Registrado;;Cobrado
17/10/2025;200;Canelones;Premier;;;Registrado;20/10/2025;Cobrado
28/03/2025;201;Canelones;Tarjeta de Crédito;;;Registrado;03/04/2025;Cobrado
13/05/2025;202;Cerro Largo;Cuenta Sueldo;;;No Registrado;;Cobrado
03/12/2025;203;Canelones;Cuenta Sueldo;;;No Registrado;;Cobrado
22/04/2025;204;Cerro Largo;Préstamo Consumo;4041,0;E2;Registrado;27/04/2025;Cobrado
08/05/2025;205;Florida;Tarjeta de Crédito;;;No Registrado;;Cobrado
30/01/2025;206;San José;Préstamo Consumo;3064,0;J3;No Registrado;;Cobrado
26/11/2025;207;Montevideo;Tarjeta de Crédito;;;Registrado;01/12/2025;Cobrado
14/07/2025;208;Montevideo;Premier;;;Registrado;19/07/2025;Cobrado
06/05/2025;209;Flores;Premier;;;Registrado;09/05/2025;En Mora
16/09/2025;210;Lavalleja;Cuenta Sueldo;;;Registrado;23/09/2025;En Mora
03/01/2025;211;Montevideo;Cuenta Sueldo;;;Registrado;05/01/2025;Cobrado
14/02/2025;212;Treinta y Tres;Préstamo Hipotecario;63384,0;Y2;Registrado;21/02/2025;Cobrado
20/03/2025;213;Montevideo;Préstamo Consumo;3899,0;M1;No Registrado;;Cobrado
17/06/2025;214;Rivera;Tarjeta de Crédito;;;Registrado;22/06/2025;Cobrado
24/09/2025;215;Artigas;Préstamo Automotor;9763,0;I2;Registrado;29/09/2025;Cobrado
03/11/2025;216;Colonia;Préstamo Automotor;6526,0;O2;Registrado;08/11/2025;Incobrable
07/07/2025;217;Canelones;Premier;;;Registrado;11/07/2025;Cobrado
02/07/2025;218;Canelones;Préstamo Hipotecario;241193,0;C1;Registrado;05/07/2025;En Mora
24/01/2025;219;Maldonado;Premier;;;Registrado;25/01/2025;Cobrado
27/05/2025;220;Montevideo;Cuenta Sueldo;;;No Registrado;;Cobrado
31/10/2025;221;Cerro Largo;Cuenta Sueldo;;;No Registrado;;Cobrado
10/03/2025;222;Soriano;Cuenta Sueldo;;;Registrado;12/03/2025;Cobrado
16/06/2025;223;Montevideo;Préstamo Consumo;4561,0;M1;Registrado;20/06/2025;Cobrado
01/01/2025;224;Maldonado;Préstamo Automotor;5104,0;A3;Registrado;07/01/2025;Cobrado
30/01/2025;225;Montevideo;Préstamo Hipotecario;103228,0;M3;Registrado;04/02/2025;Cobrado
01/05/2025;226;Rivera;Tarjeta de Crédito;;;No Registrado;;Cobrado
27/03/2025;227;Canelones;Préstamo Automotor;21123,0;C2;Registrado;31/03/2025;Cobrado
14/03/2025;228;Durazno;Préstamo Consumo;2999,0;D2;No Registrado;;Cobrado
14/02/2025;229;Paysandú;Préstamo Consumo;4565,0;P3;Registrado;21/02/2025;Cobrado
19/11/2025;230;Maldonado;Cuenta Sueldo;;;Registrado;26/11/2025;Incobrable
17/10/2025;231;Paysandú;Préstamo Consumo;3101,0;P2;Registrado;22/10/2025;Cobrado
18/06/2025;232;Río Negro;Cuenta Sueldo;;;Registrado;23/06/2025;En Mora
12/05/2025;233;Canelones;Cuenta Sueldo;;;Registrado;16/05/2025;Cobrado
25/03/2025;234;Montevideo;Tarjeta de Crédito;;;No Registrado;;Cobrado
14/05/2025;235;Salto;Préstamo Consumo;743,0;S3;Registrado;16/05/2025;Cobrado
13/02/2025;236;Montevideo;Préstamo Consumo;3574,0;M2;No Registrado;;Cobrado
22/09/2025;237;Montevideo;Cuenta Sueldo;;;Registrado;26/09/2025;Cobrado
06/01/2025;238;Treinta y Tres;Préstamo Hipotecario;118417,0;Y3;Registrado;11/01/2025;Cobrado
26/03/2025;239;Montevideo;Préstamo Consumo;3854,0;M1;Registrado;28/03/2025;Cobrado
14/11/2025;240;Colonia;Tarjeta de Crédito;;;Registrado;21/11/2025;Cobrado
15/10/2025;241;Colonia;Tarjeta de Crédito;;;No Registrado;;En Mora
28/07/2025;242;Artigas;Tarjeta de Crédito;;;No Registrado;;En Mora
18/08/2025;243;Colonia;Tarjeta de Crédito;;;Registrado;20/08/2025;Cobrado
30/06/2025;244;San José;Préstamo Consumo;3014,0;J1;Registrado;07/07/2025;Cobrado
10/03/2025;245;Rivera;Cuenta Sueldo;;;No Registrado;;En Mora
19/06/2025;246;Paysandú;Tarjeta de Crédito;;;No Registrado;;Incobrable
26/03/2025;247;Maldonado;Préstamo Consumo;4243,0;A2;Registrado;28/03/2025;Cobrado
09/09/2025;248;Colonia;Cuenta Sueldo;;;No Registrado;;En Mora
17/12/2025;249;Tacuarembó;Préstamo Consumo;4384,0;T2;Registrado;20/12/2025;Cobrado
19/08/2025;250;Montevideo;Préstamo Automotor;7318,0;M3;Registrado;24/08/2025;En Mora
08/01/2025;251;Montevideo;Préstamo Consumo;1224,0;M3;Registrado;13/01/2025;Cobrado
23/06/2025;252;Paysandú;Tarjeta de Crédito;;;No Registrado;;Cobrado
12/02/2025;253;Montevideo;Cuenta Sueldo;;;Registrado;14/02/2025;Cobrado
27/11/2025;254;Colonia;Tarjeta de Crédito;;;Registrado;01/12/2025;Cobrado
23/07/2025;255;Río Negro;Cuenta Sueldo;;;No Registrado;;En Mora
07/11/2025;256;Canelones;Préstamo Hipotecario;237922,0;C1;Registrado;09/11/2025;Cobrado
23/01/2025;257;Montevideo;Cuenta Sueldo;;;No Registrado;;Cobrado
08/01/2025;258;Salto;Préstamo Consumo;2481,0;S3;No Registrado;;Cobrado
19/02/2025;259;Montevideo;Préstamo Consumo;3418,0;M2;No Registrado;;Incobrable
28/07/2025;260;Canelones;Préstamo Automotor;4018,0;C2;Registrado;03/08/2025;Cobrado
10/11/2025;261;Durazno;Préstamo Automotor;25526,0;D3;Registrado;11/11/2025;En Mora
24/03/2025;262;Canelones;Tarjeta de Crédito;;;No Registrado;;En Mora
11/09/2025;263;Salto;Préstamo Consumo;4443,0;S1;No Registrado;;Cobrado
18/11/2025;264;Maldonado;Préstamo Consumo;1771,0;A1;No Registrado;;Cobrado
26/11/2025;265;Canelones;Tarjeta de Crédito;;;No Registrado;;Cobrado
10/07/2025;266;Maldonado;Cuenta Sueldo;;;No Registrado;;Cobrado
14/11/2025;267;Maldonado;Cuenta Sueldo;;;Registrado;20/11/2025;Incobrable
24/10/2025;268;Montevideo;Cuenta Sueldo;;;Registrado;25/10/2025;Cobrado
04/03/2025;269;Treinta y Tres;Cuenta Sueldo;;;No Registrado;;Cobrado
08/05/2025;270;Durazno;Cuenta Sueldo;;;Registrado;14/05/2025;Cobrado
09/12/2025;271;Rocha;Cuenta Sueldo;;;Registrado;12/12/2025;En Mora
19/05/2025;272;Maldonado;Cuenta Sueldo;;;Registrado;23/05/2025;En Mora
06/03/2025;273;Canelones;Cuenta Sueldo;;;No Registrado;;Cobrado
08/01/2025;274;Colonia;Premier;;;Registrado;13/01/2025;Cobrado
14/01/2025;275;Tacuarembó;Préstamo Hipotecario;269940,0;T3;Registrado;20/01/2025;Cobrado
24/07/2025;276;Paysandú;Préstamo Consumo;3621,0;P2;No Registrado;;En Mora
27/10/2025;277;Canelones;Préstamo Consumo;4641,0;C2;No Registrado;;Cobrado
15/09/2025;278;Canelones;Cuenta Sueldo;;;No Registrado;;Cobrado
18/03/2025;279;Canelones;Tarjeta de Crédito;;;Registrado;25/03/2025;Cobrado
25/12/2025;280;Flores;Cuenta Sueldo;;;No Registrado;;Cobrado
12/03/2025;281;Maldonado;Premier;;;Registrado;19/03/2025;Cobrado
12/11/2025;282;Canelones;Tarjeta de Crédito;;;No Registrado;;Cobrado
10/01/2025;283;Paysandú;Préstamo Hipotecario;169979,0;P1;Registrado;12/01/2025;Cobrado
29/10/2025;284;Soriano;Tarjeta de Crédito;;;Registrado;31/10/2025;Cobrado
07/05/2025;285;San José;Préstamo Consumo;4096,0;J2;No Registrado;;En Mora
15/10/2025;286;Tacuarembó;Cuenta Sueldo;;;No Registrado;;Cobrado
09/01/2025;287;Montevideo;Tarjeta de Crédito;;;Registrado;14/01/2025;En Mora
20/06/2025;288;Tacuarembó;Cuenta Sueldo;;;No Registrado;;Cobrado
04/02/2025;289;Montevideo;Tarjeta de Crédito;;;Registrado;05/02/2025;Cobrado
24/03/2025;290;Maldonado;Cuenta Sueldo;;;Registrado;25/03/2025;En Mora
29/05/2025;291;Colonia;Préstamo Consumo;3465,0;O2;No Registrado;;Cobrado
27/02/2025;292;Montevideo;Préstamo Automotor;5614,0;M2;Registrado;28/02/2025;Cobrado
28/08/2025;293;Maldonado;Cuenta Sueldo;;;Registrado;29/08/2025;Cobrado
29/12/2025;294;Canelones;Préstamo Consumo;2067,0;C3;Registrado;03/01/2026;Cobrado
14/02/2025;295;Canelones;Premier;;;Registrado;15/02/2025;Cobrado
10/07/2025;296;Paysandú;Cuenta Sueldo;;;No Registrado;;En Mora
25/06/2025;297;Rocha;Préstamo Consumo;3065,0;H2;Registrado;29/06/2025;Cobrado
12/03/2025;298;Paysandú;Premier;;;Registrado;16/03/2025;En Mora
11/11/2025;299;Colonia;Préstamo Automotor;28640,0;O3;Registrado;18/11/2025;En Mora
23/04/2025;300;Montevideo;Cuenta Sueldo;;;Registrado;29/04/2025;Cobrado
01/07/2025;301;Maldonado;Préstamo Automotor;6623,0;A1;Registrado;04/07/2025;En Mora
10/04/2025;302;Río Negro;Cuenta Sueldo;;;Registrado;13/04/2025;Cobrado
02/09/2025;303;Maldonado;Tarjeta de Crédito;;;Registrado;08/09/2025;Cobrado
25/04/2025;304;Paysandú;Préstamo Consumo;2415,0;P2;No Registrado;;Cobrado
18/09/2025;305;Canelones;Tarjeta de Crédito;;;Registrado;23/09/2025;Incobrable
02/06/2025;306;Montevideo;Préstamo Consumo;3753,0;M2;Registrado;08/06/2025;Cobrado
11/08/2025;307;Río Negro;Préstamo Consumo;4701,0;N2;Registrado;18/08/2025;En Mora
12/08/2025;308;Montevideo;Cuenta Sueldo;;;No Registrado;;Cobrado
