Periodo,Grupo,Producto,Super,Precio
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Ta - Ta,"143,00"
Abr25,Alimentos y bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Tienda Inglesa,"145,00"
Abr25,Alimentos y bebidas,Aceite de soja Condesa Envase 900 cc,Devoto,"75,00"
Abr25,Alimentos y bebidas,Aceite de soja Condesa Envase 900 cc,Devoto Express,"77,00"
Abr25,Alimentos y bebidas,Aceite de soja Condesa Envase 900 cc,Disco,"75,00"
Abr25,Alimentos y bebidas,Aceite de soja Condesa Envase 900 cc,El Clon,"68,00"
Abr25,Alimentos y bebidas,Aceite de soja Condesa Envase 900 cc,El Dorado,"69,00"
Abr25,Alimentos y bebidas,Aceite de soja Condesa Envase 900 cc,Red Expres,"65,00"
Abr25,Alimentos y bebidas,Aceite de soja Condesa Envase 900 cc,Red Market,"69,00"
Abr25,Alimentos y bebidas,Aceite de soja Condesa Envase 900 cc,Ta - Ta,"74,00"
Abr25,Alimentos y bebidas,Aceite de soja Condesa Envase 900 cc,Tienda Inglesa,"88,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,Devoto,"79,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,Devoto Express,"81,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,Disco,"79,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,El Clon,"68,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,El Dorado,"69,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,Frog,"90,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,Kinko,"90,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,Red Expres,"69,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,Red Market,"74,45"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,Ta - Ta,"79,00"
Abr25,Alimentos y bebidas,Aceite de soja Río de la Plata Envase 900 cc,Tienda Inglesa,"80,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Devoto,"61,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Devoto Express,"63,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Disco,"61,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,El Clon,"60,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,El Dorado,"61,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Frog,"59,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Kinko,"66,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Macro,"61,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Micro Macro,"61,16"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Red Expres,"58,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Red Market,"59,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Ta - Ta,"61,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Matutina Envase 2 lt.,Tienda Inglesa,"63,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Nativa Envase 2 lt.,Devoto,"75,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Nativa Envase 2 lt.,Devoto Express,"77,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Nativa Envase 2 lt.,Disco,"75,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Nativa Envase 2 lt.,El Clon,"72,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Nativa Envase 2 lt.,El Dorado,"74,90"
Abr25,Alimentos y bebidas,Agua de mesa con gas Nativa Envase 2 lt.,Frog,"68,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Nativa Envase 2 lt.,Red Expres,"74,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Nativa Envase 2 lt.,Ta - Ta,"75,00"
Abr25,Alimentos y bebidas,Agua de mesa con gas Nativa Envase 2 lt.,Tienda Inglesa,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Devoto,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Devoto Express,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Disco,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",El Clon,"79,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",El Dorado,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Farmashop,"82,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Macro,"76,01"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Micro Macro,"76,01"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Red Expres,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Red Market,"68,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Ta - Ta,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa con gas Salus Envase 2,25 lt.",Tienda Inglesa,"79,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",Devoto,"61,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",Devoto Express,"63,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",Disco,"61,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",El Clon,"60,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",El Dorado,"61,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",Macro,"61,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",Micro Macro,"61,16"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",Red Expres,"58,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",Red Market,"59,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",Ta - Ta,"61,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Matutina 2,5 lts",Tienda Inglesa,"63,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Devoto,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Devoto Express,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Disco,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",El Clon,"79,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",El Dorado,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Farmashop,"82,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Macro,"76,01"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Micro Macro,"76,01"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Red Expres,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Red Market,"68,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Ta - Ta,"76,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Salus 2,25 lts",Tienda Inglesa,"79,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Vitale 2,5 lts",Devoto,"64,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Vitale 2,5 lts",Devoto Express,"64,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Vitale 2,5 lts",Disco,"64,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Vitale 2,5 lts",El Clon,"70,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Vitale 2,5 lts",El Dorado,"64,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Vitale 2,5 lts",Red Expres,"72,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Vitale 2,5 lts",Red Market,"64,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Vitale 2,5 lts",Ta - Ta,"70,00"
Abr25,Alimentos y bebidas,"Agua de mesa sin gas Vitale 2,5 lts",Tienda Inglesa,"64,00"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,Devoto,"133,00"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,Devoto Express,"133,00"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,Disco,"133,00"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,El Clon,"125,00"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,El Dorado,"119,00"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,Macro,"119,69"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,Micro Macro,"119,69"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,Red Expres,"119,00"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,Red Market,"119,00"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,Ta - Ta,"133,00"
Abr25,Alimentos y bebidas,Agua mineral sin gas(bidón) Nativa 6lts,Tienda Inglesa,"133,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Devoto,"140,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Devoto Express,"140,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Disco,"140,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",El Dorado,"140,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Farmashop,"150,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Macro,"140,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Micro Macro,"140,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Red Expres,"125,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Red Market,"140,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Ta - Ta,"140,00"
Abr25,Alimentos y bebidas,"Agua mineral sin gas(bidón) Salus 6,25lts",Tienda Inglesa,"141,00"
Abr25,Alimentos y bebidas,Aguja vacuna Con Hueso - Sin Marca 1 kg.,Devoto,"395,00"
Abr25,Alimentos y bebidas,Aguja vacuna Con Hueso - Sin Marca 1 kg.,Devoto Express,"407,00"
Abr25,Alimentos y bebidas,Aguja vacuna Con Hueso - Sin Marca 1 kg.,Disco,"395,00"
Abr25,Alimentos y bebidas,Aguja vacuna Con Hueso - Sin Marca 1 kg.,Macro,"394,00"
Abr25,Alimentos y bebidas,Aguja vacuna Con Hueso - Sin Marca 1 kg.,Micro Macro,"394,00"
Abr25,Alimentos y bebidas,Aguja vacuna Con Hueso - Sin Marca 1 kg.,Red Expres,"299,00"
Abr25,Alimentos y bebidas,Aguja vacuna Con Hueso - Sin Marca 1 kg.,Red Market,"309,00"
Abr25,Alimentos y bebidas,Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Devoto,"299,00"
Abr25,Alimentos y bebidas,Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Devoto Express,"308,00"
Abr25,Alimentos y bebidas,Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Disco,"299,00"
Abr25,Alimentos y bebidas,Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Macro,"447,00"
Abr25,Alimentos y bebidas,Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Micro Macro,"447,00"
Abr25,Alimentos y bebidas,Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Red Expres,"309,00"
Abr25,Alimentos y bebidas,Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Red Market,"349,00"
Abr25,Alimentos y bebidas,Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Ta - Ta,"289,00"
Abr25,Alimentos y bebidas,Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Disco,"55,00"
Abr25,Alimentos y bebidas,Arroz blanco Aruba tipo Patna Bolsa 1 kg.,El Clon,"37,00"
Abr25,Alimentos y bebidas,Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Frog,"50,00"
Abr25,Alimentos y bebidas,Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Macro,"49,13"
Abr25,Alimentos y bebidas,Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Micro Macro,"49,13"
Abr25,Alimentos y bebidas,Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Red Expres,"48,00"
Abr25,Alimentos y bebidas,Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Red Market,"48,95"
Abr25,Alimentos y bebidas,Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Ta - Ta,"55,00"
Abr25,Alimentos y bebidas,Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Tienda Inglesa,"57,00"
Abr25,Alimentos y bebidas,Arroz blanco Blue Patna Bolsa 1 kg.,Devoto,"79,00"
Abr25,Alimentos y bebidas,Arroz blanco Blue Patna Bolsa 1 kg.,Devoto Express,"81,00"
Abr25,Alimentos y bebidas,Arroz blanco Blue Patna Bolsa 1 kg.,Disco,"79,00"
Abr25,Alimentos y bebidas,Arroz blanco Blue Patna Bolsa 1 kg.,El Dorado,"75,00"
Abr25,Alimentos y bebidas,Arroz blanco Blue Patna Bolsa 1 kg.,Kinko,"75,00"
Abr25,Alimentos y bebidas,Arroz blanco Blue Patna Bolsa 1 kg.,Red Expres,"72,00"
Abr25,Alimentos y bebidas,Arroz blanco Blue Patna Bolsa 1 kg.,Ta - Ta,"75,00"
Abr25,Alimentos y bebidas,Arroz blanco Blue Patna Bolsa 1 kg.,Tienda Inglesa,"69,00"
Abr25,Alimentos y bebidas,Arroz blanco Green Chef Bolsa 1 kg.,Devoto,"67,00"
Abr25,Alimentos y bebidas,Arroz blanco Green Chef Bolsa 1 kg.,Devoto Express,"75,00"
Abr25,Alimentos y bebidas,Arroz blanco Green Chef Bolsa 1 kg.,Disco,"67,00"
Abr25,Alimentos y bebidas,Arroz blanco Green Chef Bolsa 1 kg.,El Dorado,"65,00"
Abr25,Alimentos y bebidas,Arroz blanco Green Chef Bolsa 1 kg.,Kinko,"80,00"
Abr25,Alimentos y bebidas,Arroz blanco Green Chef Bolsa 1 kg.,Red Expres,"69,00"
Abr25,Alimentos y bebidas,Arroz blanco Green Chef Bolsa 1 kg.,Ta - Ta,"75,00"
Abr25,Alimentos y bebidas,Arroz blanco Green Chef Bolsa 1 kg.,Tienda Inglesa,"76,00"
Abr25,Alimentos y bebidas,Arroz blanco Pony Bolsa 1 kg.,Red Expres,"36,00"
Abr25,Alimentos y bebidas,Arroz blanco Pony Bolsa 1 kg.,Red Market,"42,50"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Devoto,"84,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Devoto Express,"87,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Disco,"84,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,El Clon,"69,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,El Dorado,"83,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Frog,"84,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Kinko,"86,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Macro,"73,69"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Micro Macro,"73,69"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Red Expres,"68,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Red Market,"77,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Ta - Ta,"82,00"
Abr25,Alimentos y bebidas,Arroz blanco Saman Blanco Bolsa 1 kg.,Tienda Inglesa,"85,00"
Abr25,Alimentos y bebidas,Arroz blanco Vidarroz Bolsa 1 kg.,Devoto,"40,00"
Abr25,Alimentos y bebidas,Arroz blanco Vidarroz Bolsa 1 kg.,Devoto Express,"56,00"
Abr25,Alimentos y bebidas,Arroz blanco Vidarroz Bolsa 1 kg.,Disco,"40,00"
Abr25,Alimentos y bebidas,Arroz blanco Vidarroz Bolsa 1 kg.,El Dorado,"21,00"
Abr25,Alimentos y bebidas,Arroz blanco Vidarroz Bolsa 1 kg.,Ta - Ta,"54,00"
Abr25,Alimentos y bebidas,Arvejas en conserva Cololó Lata 380 grs.,Devoto,"49,00"
Abr25,Alimentos y bebidas,Arvejas en conserva Cololó Lata 380 grs.,Devoto Express,"51,00"
Abr25,Alimentos y bebidas,Arvejas en conserva Cololó Lata 380 grs.,Disco,"49,00"
Abr25,Alimentos y bebidas,Arvejas en conserva Cololó Lata 380 grs.,El Dorado,"49,00"
Abr25,Alimentos y bebidas,Arvejas en conserva Cololó Lata 380 grs.,Macro,"42,55"
Abr25,Alimentos y bebidas,Arvejas en conserva Cololó Lata 380 grs.,Micro Macro,"45,96"
Abr25,Alimentos y bebidas,Arvejas en conserva Cololó Lata 380 grs.,Red Expres,"46,00"
Abr25,Alimentos y bebidas,Arvejas en conserva Cololó Lata 380 grs.,Red Market,"29,50"
Abr25,Alimentos y bebidas,Arvejas en conserva Cololó Lata 380 grs.,Ta - Ta,"55,00"
Abr25,Alimentos y bebidas,Arvejas en conserva Nidemar Lata 300 grs.,Macro,"30,24"
Abr25,Alimentos y bebidas,Arvejas en conserva Nidemar Lata 300 grs.,Micro Macro,"32,66"
Abr25,Alimentos y bebidas,Arvejas en conserva Nidemar Lata 300 grs.,Red Expres,"32,00"
Abr25,Alimentos y bebidas,Arvejas en conserva Nidemar Lata 300 grs.,Ta - Ta,"30,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,Devoto,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,Devoto Express,"57,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,Disco,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,El Clon,"52,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,El Dorado,"27,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,Macro,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,Micro Macro,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,Red Expres,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,Red Market,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,Ta - Ta,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Azucarlito Paquete 1 kg.,Tienda Inglesa,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,Devoto,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,Devoto Express,"57,00"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,Disco,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,El Dorado,"54,90"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,Macro,"54,99"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,Micro Macro,"54,99"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,Red Expres,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,Red Market,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,Ta - Ta,"55,00"
Abr25,Alimentos y bebidas,Azúcar blanco Bella Unión Paquete 1 kg.,Tienda Inglesa,"56,00"
Abr25,Alimentos y bebidas,Café envasado (no instantáneo) Chaná Paquete 250 grs.,Devoto,"369,00"
Abr25,Alimentos y bebidas,Café envasado (no instantáneo) Chaná Paquete 250 grs.,Devoto Express,"387,00"
Abr25,Alimentos y bebidas,Café envasado (no instantáneo) Chaná Paquete 250 grs.,Disco,"369,00"
Abr25,Alimentos y bebidas,Café envasado (no instantáneo) Chaná Paquete 250 grs.,El Clon,"349,00"
Abr25,Alimentos y bebidas,Café envasado (no instantáneo) Chaná Paquete 250 grs.,El Dorado,"299,00"
Abr25,Alimentos y bebidas,Café envasado (no instantáneo) Chaná Paquete 250 grs.,Kinko,"355,00"
Abr25,Alimentos y bebidas,Café envasado (no instantáneo) Chaná Paquete 250 grs.,Macro,"355,53"
